GID,Département,Animals given as gift,Animals given for caretaking,Animals got as gift,Animals got for caretaking,Born Animals,Bought Animals,Dead Animals,Live animals,Slaughtered animals,Sold Animals,Stolen Animals,Total Input,Total Output
HTI.1_1,Centre,0,0,0,0,2166.828084,4361.875893,636.51875,20292.36365,0,480.2488688,0,6528.703977,1116.767619
HTI.10_1,Sud,0,436.275,0,0,2806.65,580.7333333,692.8,22213.45529,0,1592.1,0,3387.383333,2721.175
HTI.2_1,Grande Anse,0,770.625,0,0,256.875,1438,791.0583333,16526.87884,0,396.25,0,1694.875,1957.933333
HTI.3_1,Artibonite,0,0,0,0,1428.426224,2322.206154,2340.827308,14612.97565,0,435.6153846,0,3750.632378,2776.442692
HTI.4_1,Nippes,0,67.08333335,0,51.85714285,1908.571428,0,451.8888889,22814.38246,0,596.9166666,0,1960.428571,1115.888889
HTI.5_1,Nord Est,0,0,0,0,339.0256411,0,308.5641026,3379.14359,0,567.0076924,0,339.0256411,875.571795
HTI.6_1,Nord Ouest,0,0,0,583.5,1218.855556,1477.455556,1335,16161.99224,0,480.7222223,0,3279.811111,1815.722222
HTI.7_1,Nord,0,0,0,0,0,0,0,954.0126985,0,0,0,0,0
HTI.8_1,Ouest,0,0,0,0,508.7307692,2916.27166,818.1307692,23847.88183,0,0,0,3425.002429,818.1307692
HTI.9_1,Sud Est,0,255.9123377,0,776.0883117,1841.276624,779.9597403,1785.569748,35881.1871,0,4.454545455,0,3397.324676,2045.936631
