GID,Département,Cattle,Sheep,Goats,Chickens,Turkeys,Ducks,Geese,Pigs
HTI.1_1,Centre,"156,828","2,597","245,621","996,655","94,762","58,770",270,"129,538"
HTI.10_1,Sud,"111,365","76,220","149,433","734,520","22,122","11,457",121,"116,608"
HTI.2_1,Grand'Anse,"87,142","74,738","151,578","577,990","20,559","6,807",101,"100,467"
HTI.3_1,L'Artibonite,"149,785","31,500","354,941","1,025,367","47,740","34,809",218,"128,978"
HTI.4_1,Nippes,"53,497","12,173","99,029","377,511","11,970","2,237",279,"68,478"
HTI.5_1,Nord-Est,"68,548","3,525","58,650","295,368","3,886","11,854",100,"23,735"
HTI.6_1,Nord-Ouest,"65,277","73,880","242,223","563,723","36,440","10,412",114,"48,210"
HTI.7_1,Nord,"91,821","1,224","101,254","479,297","10,576","12,101",81,"66,516"
HTI.8_1,Ouest,"253,051","69,527","536,596","1,709,507","205,997","79,485","1,010","313,098"
HTI.9_1,Sud-Est,"66,558","14,065","170,965","561,369","28,122","4,243",28,"99,186"
