GID,Département,Animals given as gift,Animals given for caretaking,Animals got as gift,Animals got for caretaking,Born Animals,Bought Animals,Dead Animals,Live animals,Slaughtered animals,Sold Animals,Stolen Animals,Total Input,Total Output
HTI.1_1,Centre,0,0,0,619.4047619,8345.029327,2499.429121,1445.347917,59466.67255,0,2165.096429,0,11463.86321,3610.444345
HTI.10_1,Sud,0,0,127.1333333,380.5347222,2738.316667,0,453.0074073,26461.28985,0,563.6740741,0,3245.984722,1016.681481
HTI.2_1,Grande Anse,532.5,77.58333333,3459.166667,77.58333333,1113.733333,2505.1875,195.0104167,17226.03149,175.5833333,0,335.125,7155.670833,1315.802083
HTI.3_1,Artibonite,0,880.8158824,1413.41,3544.241053,18055.77078,2770.032308,4289.345193,107992.0743,0,4426.275769,1413.41,25783.45414,11009.84684
HTI.4_1,Nippes,0,0,0,1120.638889,5044.250916,0,945.2499999,35770.07558,0,1177.5,0,6164.889805,2122.75
HTI.5_1,Nord Est,0,158.7666667,0,605.0000001,1852.008599,976.5756894,1725.202975,30124.44943,277.7142857,652.4222223,1940.357143,3433.584288,4754.463293
HTI.6_1,Nord Ouest,0,0,0,6,767.9049383,837.6444445,425.9666667,16981.69506,0,302.6666667,250.4,1611.549383,979.0333334
HTI.7_1,Nord,0,0,0,0,3098.966667,0,291.6666667,22072.92064,0,888,0,3098.966667,1179.666667
HTI.8_1,Ouest,0,639.9692307,0,1553.725506,3198.930769,7471.208165,2334.784615,73571.64532,0,3150.076923,1437.676923,12223.86444,7562.507692
HTI.9_1,Sud Est,0,433.0285714,0,1546.493878,4069.502134,1490.287199,2944.345946,33570.05554,0,877.9532468,0,7106.28321,4255.327764
